id,albufeira,lagua,bacia,distrito,concelho,freguesia,adren_bara,adrenp_bar,altmax_bac,altmed_bac,altmin_bac,alt_bac,decmed_bac,compax_lag,decmed_lag,ppmed_a_ba,pp20_bac,pp50_bac,pp90_bac,escma_bac,esc20_bac,esc50_bac,esc90_bac,m,p,longdd,latdd,ano_ifunc,obra,projecto,tipo_barra,alt_barrag,alt_terren,dcoroament,ccoroament,lcoroament,npa,nmc,nme,cc_nmc,cc_npa,supinundnp,tresid,coeficreg,poa,rhidro_cod,escadaspei,aespanha,observacoe
94,Foz Côa (não construída),RIO CÔA,DOURO,GUARDA,VILA NOVA DE FOZ CÔA,CASTELO MELHOR,2517.8,758.21,983,550,127,0,11.2,75.7,1,649,0,0,0,0,0,0,0,286268,456032,-7.106718351,41.0688377,0,,,Arco Abóboda,0,138,548,0,0,0,0,0,0,0,0,0,0,,07O/01AE,N,N,
174,Foz do Tua (prevista),RIO TUA,DOURO,VILA REAL,ALIJÓ,SÃO MAMEDE DE RIBATUA,3812.82,2581.17,1840,635,98,0,16.7,165.9,1,830,0,0,0,0,0,0,0,259543,474113,-7.422904558,41.234023151,0,,,Arco Abóboda,0,121,0,0,0,200,201,162,0,0,0,0,0,,,,S,
175,Fr. Joaquim,RIBEIRA DE TERA,TEJO,ÉVORA,ESTREMOZ,SÃO BENTO DO AMEIXIAL,127.91,127.92,650,355,239,0,9,18.7,1.3,650,0,0,0,0,0,0,0,240659,203228,-7.665081626,38.795674151,0,,,Terra,28,0,0,0,0,250,0,0,0,0,0,0,0,,,,N,
52,Fratel,RIO TEJO,TEJO,PORTALEGRE,NISA,AMIEIRA DO TEJO,59639.21,58934.08,2523,720,59,0,10.4,806.2,0.2,689,0,0,0,0,0,0,0,228404,286193,-7.802673439,39.543434238,1973,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,HIDRO-ELÉCTRICA DO ZÊZERE,Gravidade de betão,48,43,240,87,0,74,76,71,11,13,1000,0,0,,16K/02A,N,S,
26,Freigil,RIO CABRUM,DOURO,VISEU,RESENDE,FREIGIL,52.63,52.64,1358,933,314,0,17.1,17.6,5.8,2088,0,0,0,0,0,0,0,209633,455713,-8.018500181,41.070474655,1955,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,,Gravidade de betão,17,0,73,319.7,1.6,317,319.2,304,0.5,2.7,3.3,0,0,,07J/01AE,N,N,
176,Freita/Cefra,RIO DE OURO,DOURO,BRAGA,CABECEIRAS DE BASTO,REFOJOS DE BASTO,98.85,98.86,1179,665,263,0,20.3,18.4,4.2,2129,0,0,0,0,0,0,0,212670,504741,-7.981350066,41.511882412,0,,,Gravidade de betão,0,265,0,0,0,267.8,0,267.4,0,0,0,0,0,,,,N,
228,Freixeirinha,RIBEIRA DA FREIXEIRINHA,TEJO,ÉVORA,MONTEMOR-O-NOVO,LAVRE,38.5,38.51,277,195,119,0,3.8,14,1.1,704,0,0,0,0,0,0,0,185126,199394,-8.304224684,38.76194308,1995,JUNTA DE AGRICULTORES REGANTES DE LAVRE,JOSÉ MANUEL RAMALHO,Terra zonada,37,0,356,137,9,134,135.5,0,1.5,3,0,0,0,,,,N,
177,Fridão (prevista),RIO TÂMEGA,DOURO,PORTO,AMARANTE,FRIDÃO,2616.41,504.53,1283,556,96,0,20.3,52.4,2.2,1800,0,0,0,0,0,0,0,209228,483630,-8.022900397,41.321849178,0,,,Arco Abóboda,0,111,0,0,0,160,161,136,0,0,0,0,0,,,,N,
79,Fronhas,RIO ALVA OU RIBEIRA DA FERVENÇA,MONDEGO,COIMBRA,ARGANIL,POMBEIRO DA BEIRA,640.85,131.32,958,285,114,0,18.4,36.5,1.7,1170,0,0,0,0,0,0,0,197391,364180,-8.163770405,40.24626789,1985,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,"ELECTRICIDADE DE PORTUGAL, S.A.",Arco,62,0,250,140,0,134,140,117,0,5.9,535,0,0,,12I/01A,N,N,
85,Funcho,RIO ARADE,ARADE,FARO,SILVES,SILVES,212.59,212.6,533,223,70,0,15.4,41.7,0.8,744,0,0,0,0,0,0,0,177868,32998,-8.382584991,37.262716612,1993,INAG I.P.,COBA,Abóboda,48.8,46,165,99.8,0,96,96.8,65,3,3.8,360,0,0,,30G/01A,N,N,
31,Furadouro,RIBEIRA DA RAIA OU DE SEDA,TEJO,ÉVORA,MORA,MORA,3387.41,110.5,160,112,45,0,4.7,19.3,0.5,656,0,0,0,0,0,0,0,193445,222347,-8.20873318,38.968801342,1959,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO VALE DO SORRAIA,DIRECÇÃO-GERAL DOS SERVIÇOS HIDRÁULICOS,Terra homogénea,17,14,279,48.4,3.5,42.5,46.5,40,1.9,5.9,3.6,0,0,,20H/01AE,N,N,
215,Gafete,RIBEIRA DO VALE DO CASTELO,TEJO,PORTALEGRE,CRATO,GÁFETE,42.89,42.9,418,325,265,0,3,14.5,0.2,763,0,0,0,0,0,0,0,241630,269149,-7.649879056,39.389387446,1980,,,Terra,0,0,0,0,0,207,207.7,0,0,0,0,0,0,,17L/03A,,,
36,Gameiro,RIBEIRA DA RAIA OU DE SEDA,TEJO,ÉVORA,MORA,CABEÇÃO,3276.92,839.7,505,210,63,0,4.4,67.3,0.6,625,0,0,0,0,0,0,0,202024,220758,-8.109748029,38.954510744,1960,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO VALE DO SORRAIA,DIRECÇÃO-GERAL DOS SERVIÇOS HIDRÁULICOS,Gravidade de betão,20,16,293,68,4,62,65,58,3,6,7.2,0,0,,20I/01AE,N,N,
178,Gema,RIBEIRA DA GEMA,SADO,BEJA,ODEMIRA,COLOS,1.36,1.37,282,219,168,0,12.2,1.7,3.9,743,0,0,0,0,0,0,0,169645,82895,-8.477343255,37.712046982,0,,,,0,168,0,0,0,0,0,0,0,0,0,0,0,,,,N,
179,Giestal,RIO SELHO,AVE/LEÇA,BRAGA,GUIMARÃES,CANDOSO (SÃO MARTINHO),57.68,57.69,603,300,139,0,14.1,16.6,2.2,1748,0,0,0,0,0,0,0,182749,495707,-8.339503043,41.430455491,1941,,,,0,142,0,0,0,0,0,0,0,0,0,0,0,,,,N,
